,from,to
876,1279,466
874,1279,214
875,1279,222
873,1279,61
881,1280,114
884,1281,789
885,1282,414
886,1283,560
887,1283,600
889,1284,446
891,1284,569
890,1284,466
888,1284,49
892,1285,370
894,1286,135
899,1287,857
898,1287,597
897,1287,298
1100,1288,596
1098,1288,323
1099,1288,544
1101,1289,200
1191,1290,121
1268,1291,356
1269,1291,401
1271,1291,559
1270,1291,405
1273,1292,451
1276,1293,82
1275,1294,82
2116,1295,673
2117,1296,644
2124,1297,170
2306,1298,456
2311,1299,75
2340,1300,391
2372,1301,336
2504,1302,223
2538,1303,1003
2537,1303,525
2558,1304,322
2565,1305,215
2617,1306,224
2707,1307,288
2709,1308,690
2712,1309,496
2976,1310,20
3240,1311,199
1492,1312,261
3634,1313,364
3729,1314,184
3734,1315,600
3732,1315,49
3733,1315,350
3736,1316,417
106,1317,152
141,1318,546
143,1319,425
144,1319,675
145,1320,362
152,1321,321
167,1322,669
203,1323,955
292,1324,178
293,1325,145
294,1325,352
328,1326,406
329,1326,664
646,1327,468
648,1328,68
649,1328,145
1039,1329,318
1038,1329,300
1037,1329,222
1041,1330,300
1043,1330,636
1042,1330,394
1204,1331,446
1202,1331,214
1203,1331,222
1286,1332,87
1289,1332,702
1288,1332,98
1287,1332,89
1346,1333,325
1456,1334,505
1593,1335,239
1595,1335,731
1594,1335,496
1597,1336,1032
1596,1336,145
1601,1337,655
2256,1338,188
2261,1339,29
2262,1339,167
2263,1339,202
2264,1339,231
2637,1340,456
2675,1341,291
2676,1341,616
2678,1342,653
2681,1343,673
2682,1344,479
2684,1345,636
2874,1346,755
2875,1347,534
2877,1348,446
2876,1348,184
2878,1349,418
2879,1349,466
2880,1350,381
2900,1351,472
2960,1352,545
2964,1353,386
2963,1353,367
2998,1354,811
